iSTD Name,ng iSTD extracted
1_SM 20:1 d18:1/20:1-d9 iSTD [M+H]+,50
1_SM 20:1 d18:1/20:1-d9 iSTD [M+Na]+,50
1_SM 22:1 d18:1/22:1-d9 iSTD [M+H]+,100
1_SM 22:1 d18:1/22:1-d9 iSTD [M+Na]+,100
1_SM 24:1 d18:1/24:1-d9 iSTD [M+Na]+,150
1_SM 24:1 d18:1/24:1-d9 iSTD5 [M+H]+,150
1_TG 14:0/13:0/14:0-d5 iSTD [M+K]+,50
1_TG 14:0/13:0/14:0-d5 iSTD [M+Na]+,50
1_TG 14:0/13:0/14:0-d5 iSTD [M+NH4]+,50
1_TG 14:0/15:1/14:0-d5 iSTD [M+K]+,100
1_TG 14:0/15:1/14:0-d5 iSTD [M+Na]+,100
1_TG 14:0/15:1/14:0-d5 iSTD [M+NH4]+,100
1_TG 14:0/17:1/14:0-d5 iSTD [M+K]+,150
1_TG 14:0/17:1/14:0-d5 iSTD [M+Na]+,150
1_TG 14:0/17:1/14:0-d5 iSTD [M+NH4]+,150
1_TG 16:0/15:1/16:0-d5 iSTD [M+K]+,200
1_TG 16:0/15:1/16:0-d5 iSTD [M+Na]+,200
1_TG 16:0/15:1/16:0-d5 iSTD [M+NH4]+,200
1_TG 16:0/17:1/16:0-d5 iSTD [M+K]+,250
1_TG 16:0/17:1/16:0-d5 iSTD [M+Na]+,250
1_TG 16:0/17:1/16:0-d5 iSTD [M+NH4]+,250
1_TG 16:0/19:2/16:0-d5 iSTD [M+K]+,200
1_TG 16:0/19:2/16:0-d5 iSTD [M+Na]+,200
1_TG 16:0/19:2/16:0-d5 iSTD [M+NH4]+,200
1_TG 18:1/17:1/18:1-d5 iSTD [M+K]+,150
1_TG 18:1/17:1/18:1-d5 iSTD [M+Na]+,150
1_TG 18:1/17:1/18:1-d5 iSTD [M+NH4]+,150
1_TG 18:1/19:2/18:1-d5 iSTD [M+K]+,100
1_TG 18:1/19:2/18:1-d5 iSTD [M+Na]+,100
1_TG 18:1/19:2/18:1-d5 iSTD [M+NH4]+,100
1_TG 18:1/21:2/18:1-d5 iSTD [M+K]+,50
1_TG 18:1/21:2/18:1-d5 iSTD [M+Na]+,50
1_TG 18:1/21:2/18:1-d5 iSTD [M+NH4]+,50
